,Median annual income (Standardised),dem_this_margin (Standardised),Dropout rates (Standardised),AAHC rate per Asian capita in % (Standardised)
0,-1.2544305226789274,-1.3763317462461604,0.4734102960988172,-0.2992454597312194
1,-0.5837956382568767,-0.1661607780922637,1.79717267122796,-0.3808162592779115
2,0.4360841313244832,1.0873854935796938,-0.3626501513511681,-0.382833323373398
3,0.643122493748682,0.406393228346139,0.05538007237382484,0.04292110633362494
4,1.6644683099561772,0.6926702315653404,-1.1290388948469876,-0.3404331965508365
5,3.5623471145229275,3.585802976219996,-1.0593671908928224,-0.07054740559296463
6,-0.43311862390409633,-0.3266494011090887,0.8217688158696443,-0.6172818860978441
7,-0.5093530484631247,-0.8905283468438792,0.543082000052983,4.519696658955996
8,-1.1480606952493428,0.2892799088473748,2.284874598907119,-0.13841575797971947
9,-0.48882839569723247,-0.42207506884882245,0.7520971119154791,-0.5540650859827086
10,0.755356507682807,0.6536324583990856,0.543082000052983,0.05503147934127738
11,0.20998716276052737,1.1003980846351118,-1.0593671908928224,-0.558136296172293
12,-1.0275190837671186,-1.5151327175039548,0.3340668881904862,0.09146580131193568
13,0.28671026952826745,0.5582067906593519,-0.5019935592594985,-0.6322064102272644
14,-0.7331695000530926,-0.8775157557884611,1.1701273356404716,-0.5891702407590536
15,-0.40135428033783455,-0.8167903308631758,-0.014291631580340957,-0.2146434425016941
16,-0.9936371172964393,-1.3025937302654569,0.403738592144652,-0.13442448542282784
17,-1.0351751050369356,-0.9859540145836131,2.2152028949529536,-0.46710283504856964
18,1.5447411688218058,1.273899298707355,-1.2683823027553185,-0.16221669257048682
19,1.277757788795636,1.260886707651937,-0.5716652632136643,-0.6669569455009001
20,-0.26729246108125265,0.21554189286667141,-1.1290388948469876,3.1638141201329866
21,-0.41780658136446247,-0.05772251929711168,0.12505177632799003,-0.5885438042415848
22,0.5452231579367673,0.1287912858305498,-1.0593671908928224,-0.06466664946145206
23,-0.5648999261866903,-0.8471530433258184,0.19472348028215583,-0.392623009215932
24,-1.6141006282907533,-0.8948658771956853,0.8914405198238101,0.6106322167247314
25,-0.3218619743873947,-1.0119791966944494,-0.6413369671678295,0.5130440474903214
26,-0.5692980660650957,-0.23556126372116098,0.264395184236321,-0.5918614561648413
27,0.9325852553755909,0.14180387688596807,-1.198710598801153,0.49346143791450214
28,1.379240794138103,0.510493956789485,-1.2683823027553185,0.42544570467224124
29,-0.4432180562174719,-0.075072640704336,1.9365160791362916,-0.16058464586113724
30,0.8223059702763127,0.8227961421195227,-0.22330674344283713,-0.38123597153964656
31,-0.44403252656532477,-0.5261757972921685,0.05538007237382484,-0.3544749957406719
32,-0.08387373874478701,0.5191690174930972,0.6824254079613133,-0.38336086451596907
33,0.012070868232280707,-0.12712300492600895,-0.15363503948867133,-0.37793203311110457
34,-0.7198121863483055,-1.1854804107666925,-0.2929784473970023,-0.2377036044657564
35,-0.7334952881922336,-1.0683670912679286,-0.2929784473970023,-0.44834323897477396
36,0.8144870549369252,0.2589171963847322,-1.4077257106636494,-0.5419861571551082
37,0.04872203388565972,1.3563123753916706,-1.1290388948469876,1.1637213619471474
38,-0.14707663773816948,-0.15314818703684543,-0.7806803750761605,-0.3474217815870946
